step,idx,alive,s,v,gap_f,gap_b
8,1,1,5.800000,1.000000,5.000000,5.000000
8,2,1,10.800000,1.000000,5.000000,5.000000
8,3,1,15.800000,1.000000,5.000000,5.000000
8,4,1,20.800000,1.000000,5.000000,5.000000
8,5,1,25.800000,1.000000,5.000000,5.000000
8,6,1,30.800000,1.000000,5.000000,5.000000
8,7,1,35.800000,1.000000,5.000000,5.000000
8,8,1,40.800000,1.000000,5.000000,5.000000
8,9,1,45.800000,1.000000,5.000000,5.000000
8,10,1,50.800000,1.000000,5.000000,5.000000
8,11,1,55.800000,1.000000,5.000000,5.000000
8,12,1,60.800000,1.000000,5.000000,5.000000
8,13,1,65.800000,1.000000,5.000000,5.000000
8,14,1,70.800000,1.000000,5.000000,5.000000
8,15,1,75.800000,1.000000,5.000000,5.000000
8,16,1,80.800000,1.000000,5.000000,5.000000
8,17,1,85.800000,1.000000,5.000000,5.000000
8,18,1,90.800000,1.000000,5.000000,5.000000
8,19,1,95.800000,1.000000,5.000000,5.000000
9,0,1,0.900000,1.000000,5.000000,5.000000
9,1,1,5.900000,1.000000,5.000000,5.000000
9,2,1,10.900000,1.000000,5.000000,5.000000
9,3,1,15.900000,1.000000,5.000000,5.000000
9,4,1,20.900000,1.000000,5.000000,5.000000
9,5,1,25.900000,1.000000,5.000000,5.000000
9,6,1,30.900000,1.000000,5.000000,5.000000
9,7,1,35.900000,1.000000,5.000000,5.000000
9,8,1,40.900000,1.000000,5.000000,5.000000
9,9,1,45.900000,1.000000,5.000000,5.000000
9,10,1,50.900000,1.000000,5.000000,5.000000
9,11,1,55.900000,1.000000,5.000000,5.000000
9,12,1,60.900000,1.000000,5.000000,5.000000
9,13,1,65.900000,1.000000,5.000000,5.000000
9,14,1,70.900000,1.000000,5.000000,5.000000
9,15,1,75.900000,1.000000,5.000000,5.000000
9,16,1,80.900000,1.000000,5.000000,5.000000
9,17,1,85.900000,1.000000,5.000000,5.000000
9,18,1,90.900000,1.000000,5.000000,5.000000
9,19,1,95.900000,1.000000,5.000000,5.000000
10,0,1,1.000000,1.000000,5.000000,5.000000
10,1,1,6.000000,1.000000,5.000000,5.000000
10,2,1,11.000000,1.000000,5.000000,5.000000
10,3,1,16.000000,1.000000,5.000000,5.000000
10,4,1,21.000000,1.000000,5.000000,5.000000
10,5,1,26.000000,1.000000,5.000000,5.000000
10,6,1,31.000000,1.000000,5.000000,5.000000
10,7,1,36.000000,1.000000,5.000000,5.000000
10,8,1,41.000000,1.000000,5.000000,5.000000
10,9,1,46.000000,1.000000,5.000000,5.000000
10,10,1,51.000000,1.000000,5.000000,5.000000
10,11,1,56.000000,1.000000,5.000000,5.000000
10,12,1,61.000000,1.000000,5.000000,5.000000
10,13,1,66.000000,1.000000,5.000000,5.000000
10,14,1,71.000000,1.000000,5.000000,5.000000
10,15,1,76.000000,1.000000,5.000000,5.000000
10,16,1,81.000000,1.000000,5.000000,5.000000
10,17,1,86.000000,1.000000,5.000000,5.000000
10,18,1,91.000000,1.000000,5.000000,5.000000
10,19,1,96.000000,1.000000,5.000000,5.000000
11,0,1,1.100000,1.000000,5.000000,5.000000
11,1,1,6.100000,1.000000,5.000000,5.000000
11,2,1,11.100000,1.000000,5.000000,5.000000
11,3,1,16.100000,1.000000,5.000000,5.000000
11,4,1,21.100000,1.000000,5.000000,5.000000
11,5,1,26.100000,1.000000,5.000000,5.000000
11,6,1,31.100000,1.000000,5.000000,5.000000
11,7,1,36.100000,1.000000,5.000000,5.000000
11,8,1,41.100000,1.000000,5.000000,5.000000
11,9,1,46.100000,1.000000,5.000000,5.000000
11,10,1,51.100000,1.000000,5.000000,5.000000
11,11,1,56.100000,1.000000,5.000000,5.000000
11,12,1,61.100000,1.000000,5.000000,5.000000
11,13,1,66.100000,1.000000,5.000000,5.000000
11,14,1,71.100000,1.000000,5.000000,5.000000
11,15,1,76.100000,1.000000,5.000000,5.000000
11,16,1,81.100000,1.000000,5.000000,5.000000
11,17,1,86.100000,1.000000,5.000000,5.000000
11,18,1,91.100000,1.000000,5.000000,5.000000
11,19,1,96.100000,1.000000,5.000000,5.000000
12,0,1,1.200000,1.000000,5.000000,5.000000
12,1,1,6.200000,1.000000,5.000000,5.000000
12,2,1,11.200000,1.000000,5.000000,5.000000
12,3,1,16.200000,1.000000,5.000000,5.000000
12,4,1,21.200000,1.000000,5.000000,5.000000
12,5,1,26.200000,1.000000,5.000000,5.000000
12,6,1,31.200000,1.000000,5.000000,5.000000
12,7,1,36.200000,1.000000,5.000000,5.000000
12,8,1,41.200000,1.000000,5.000000,5.000000
12,9,1,46.200000,1.000000,5.000000,5.000000
12,10,1,51.200000,1.000000,5.000000,5.000000
12,11,1,56.200000,1.000000,5.000000,5.000000
12,12,1,61.200000,1.000000,5.000000,5.000000
12,13,1,66.200000,1.000000,5.000000,5.000000
12,14,1,71.200000,1.000000,5.000000,5.000000
12,15,1,76.200000,1.000000,5.000000,5.000000
12,16,1,81.200000,1.000000,5.000000,5.000000
12,17,1,86.200000,1.000000,5.000000,5.000000
12,18,1,91.200000,1.000000,5.000000,5.000000
12,19,1,96.200000,1.000000,5.000000,5.000000
13,0,1,1.300000,1.000000,5.000000,5.000000
13,1,1,6.300000,1.000000,5.000000,5.000000
13,2,1,11.300000,1.000000,5.000000,5.000000
13,3,1,16.300000,1.000000,5.000000,5.000000
13,4,1,21.300000,1.000000,5.000000,5.000000
13,5,1,26.300000,1.000000,5.000000,5.000000
13,6,1,31.300000,1.000000,5.000000,5.000000
13,7,1,36.300000,1.000000,5.000000,5.000000
13,8,1,41.300000,1.000000,5.000000,5.000000
13,9,1,46.300000,1.000000,5.000000,5.000000
13,10,1,51.300000,1.000000,5.000000,5.000000
13,11,1,56.300000,1.000000,5.000000,5.000000
13,12,1,61.300000,1.000000,5.000000,5.000000
13,13,1,66.300000,1.000000,5.000000,5.000000
13,14,1,71.300000,1.000000,5.000000,5.000000
13,15,1,76.300000,1.000000,5.000000,5.000000
13,16,1,81.300000,1.000000,5.000000,5.000000
13,17,1,86.300000,1.000000,5.000000,5.000000
13,18,1,91.300000,1.000000,5.000000,5.000000
13,19,1,96.300000,1.000000,5.000000,5.000000
14,0,1,1.400000,1.000000,5.000000,5.000000
14,1,1,6.400000,1.000000,5.000000,5.000000
14,2,1,11.400000,1.000000,5.000000,5.000000
14,3,1,16.400000,1.000000,5.000000,5.000000
14,4,1,21.400000,1.000000,5.000000,5.000000
14,5,1,26.400000,1.000000,5.000000,5.000000
14,6,1,31.400000,1.000000,5.000000,5.000000
14,7,1,36.400000,1.000000,5.000000,5.000000
14,8,1,41.400000,1.000000,5.000000,5.000000
14,9,1,46.400000,1.000000,5.000000,5.000000
14,10,1,51.400000,1.000000,5.000000,5.000000
14,11,1,56.400000,1.000000,5.000000,5.000000
14,12,1,61.400000,1.000000,5.000000,5.000000
14,13,1,66.400000,1.000000,5.000000,5.000000
14,14,1,71.400000,1.000000,5.000000,5.000000
14,15,1,76.400000,1.000000,5.000000,5.000000
14,16,1,81.400000,1.000000,5.000000,5.000000
14,17,1,86.400000,1.000000,5.000000,5.000000
14,18,1,91.400000,1.000000,5.000000,5.000000
14,19,1,96.400000,1.000000,5.000000,5.000000
15,0,1,1.500000,1.000000,5.000000,5.000000
15,1,1,6.500000,1.000000,5.000000,5.000000
15,2,1,11.500000,1.000000,5.000000,5.000000
15,3,1,16.500000,1.000000,5.000000,5.000000
15,4,1,21.500000,1.000000,5.000000,5.000000
15,5,1,26.500000,1.000000,5.000000,5.000000
15,6,1,31.500000,1.000000,5.000000,5.000000
15,7,1,36.500000,1.000000,5.000000,5.000000
15,8,1,41.500000,1.000000,5.000000,5.000000
15,9,1,46.500000,1.000000,5.000000,5.000000
15,10,1,51.500000,1.000000,5.000000,5.000000
15,11,1,56.500000,1.000000,5.000000,5.000000
15,12,1,61.500000,1.000000,5.000000,5.000000
15,13,1,66.500000,1.000000,5.000000,5.000000
15,14,1,71.500000,1.000000,5.000000,5.000000
15,15,1,76.500000,1.000000,5.000000,5.000000
15,16,1,81.500000,1.000000,5.000000,5.000000
15,17,1,86.500000,1.000000,5.000000,5.000000
15,18,1,91.500000,1.000000,5.000000,5.000000
15,19,1,96.500000,1.000000,5.000000,5.000000
16,0,1,1.600000,1.000000,5.000000,5.000000
16,1,1,6.600000,1.000000,5.000000,5.000000
16,2,1,11.600000,1.000000,5.000000,5.000000
16,3,1,16.600000,1.000000,5.000000,5.000000
16,4,1,21.600000,1.000000,5.000000,5.000000
16,5,1,26.600000,1.000000,5.000000,5.000000
16,6,1,31.600000,1.000000,5.000000,5.000000
16,7,1,36.600000,1.000000,5.000000,5.000000
16,8,1,41.600000,1.000000,5.000000,5.000000
16,9,1,46.600000,1.000000,5.000000,5.000000
16,10,1,51.600000,1.000000,5.000000,5.000000
16,11,1,56.600000,1.000000,5.000000,5.000000
16,12,1,61.600000,1.000000,5.000000,5.000000
16,13,1,66.600000,1.000000,5.000000,5.000000
16,14,1,71.600000,1.000000,5.000000,5.000000
16,15,1,76.600000,1.000000,5.000000,5.000000
