step;alive;min_v;max_v;std_v;min_gap;max_gap;std_gap
151;19;0.995878;1.147913;0.053804;5.014337;5.641094;0.222906
152;19;0.995980;1.147116;0.053521;5.014726;5.638329;0.221827
153;19;0.996083;1.146321;0.053240;5.015123;5.635573;0.220755
154;19;0.996186;1.145529;0.052963;5.015529;5.632827;0.219692
155;19;0.996289;1.144741;0.052687;5.015944;5.630091;0.218636
156;19;0.996392;1.143956;0.052415;5.016368;5.627365;0.217588
157;19;0.996496;1.143175;0.052145;5.016800;5.624650;0.216548
158;19;0.996600;1.142396;0.051877;5.017242;5.621944;0.215515
159;19;0.996705;1.141622;0.051612;5.017693;5.619249;0.214490
160;19;0.996810;1.140851;0.051349;5.018154;5.616565;0.213471
161;19;0.996916;1.140084;0.051088;5.018623;5.613891;0.212460
162;19;0.997022;1.139320;0.050830;5.019102;5.611229;0.211456
163;19;0.997128;1.138560;0.050574;5.019591;5.608577;0.210458
164;19;0.997235;1.137804;0.050320;5.020089;5.605936;0.209468
165;19;0.997343;1.137052;0.050068;5.020597;5.603306;0.208484
166;19;0.997451;1.136304;0.049818;5.021115;5.600687;0.207507
167;19;0.997560;1.135560;0.049570;5.021642;5.598080;0.206536
168;19;0.997670;1.135045;0.049325;5.022179;5.595484;0.205571
169;19;0.997780;1.134627;0.049081;5.022726;5.592899;0.204613
170;19;0.997891;1.134205;0.048839;5.023283;5.590326;0.203661
171;19;0.998003;1.133780;0.048600;5.023850;5.588123;0.202716
172;19;0.998115;1.133351;0.048362;5.024427;5.586605;0.201776
173;19;0.998228;1.132920;0.048126;5.025013;5.585077;0.200842
174;19;0.998343;1.132486;0.047891;5.025610;5.583541;0.199914
175;19;0.998457;1.132050;0.047659;5.026217;5.581996;0.198992
176;19;0.998573;1.131611;0.047428;5.026834;5.580443;0.198076
177;19;0.998690;1.131170;0.047199;5.027461;5.578881;0.197165
178;19;0.998808;1.130726;0.046972;5.028098;5.577313;0.196260
179;19;0.998927;1.130281;0.046746;5.028746;5.575737;0.195360
180;19;0.999046;1.129834;0.046522;5.029403;5.574155;0.194466
181;19;0.999167;1.129385;0.046300;5.030070;5.572566;0.193577
182;19;0.999289;1.128934;0.046079;5.030748;5.570972;0.192693
183;19;0.999411;1.128482;0.045860;5.031435;5.569372;0.191815
184;19;0.999535;1.128029;0.045642;5.032133;5.567766;0.190941
185;19;0.999660;1.127575;0.045426;5.032840;5.566156;0.190073
186;19;0.999786;1.127119;0.045211;5.033558;5.564541;0.189210
187;19;0.999913;1.126662;0.044998;5.034285;5.562921;0.188352
188;19;1.000042;1.126205;0.044786;5.035022;5.561298;0.187499
189;19;1.000171;1.125746;0.044576;5.035770;5.559671;0.186651
190;19;1.000302;1.125287;0.044367;5.036403;5.558041;0.185807
191;19;1.000434;1.124827;0.044159;5.036880;5.556407;0.184968
192;19;1.000567;1.124367;0.043953;5.037365;5.554770;0.184134
193;19;1.000702;1.123906;0.043748;5.037856;5.553131;0.183305
194;19;1.000838;1.123445;0.043545;5.038354;5.551489;0.182480
195;19;1.000975;1.122984;0.043343;5.038860;5.549845;0.181660
196;19;1.001113;1.122522;0.043142;5.039372;5.548199;0.180844
197;19;1.001253;1.122061;0.042942;5.039892;5.546552;0.180033
198;19;1.001394;1.121599;0.042744;5.040419;5.544903;0.179226
199;19;1.001537;1.121137;0.042547;5.040953;5.543252;0.178423
200;19;1.001680;1.120676;0.042351;5.041495;5.541601;0.177625
201;19;1.001826;1.120215;0.042156;5.042043;5.539948;0.176831
202;19;1.001972;1.119753;0.041962;5.042599;5.538295;0.176041
203;19;1.002120;1.119292;0.041770;5.043163;5.536641;0.175256
204;19;1.002269;1.118832;0.041579;5.043733;5.534987;0.174474
205;19;1.002420;1.118372;0.041389;5.044311;5.533333;0.173697
206;19;1.002572;1.117912;0.041200;5.044896;5.531679;0.172924
207;19;1.002726;1.117453;0.041012;5.045489;5.530025;0.172155
208;19;1.002881;1.116994;0.040825;5.046088;5.528371;0.171389
209;19;1.003038;1.116536;0.040640;5.046696;5.526718;0.170628
210;19;1.003156;1.116079;0.040455;5.047310;5.525066;0.169871
211;19;1.003272;1.115622;0.040272;5.047932;5.523414;0.169117
212;19;1.003389;1.115166;0.040089;5.048561;5.521763;0.168368
213;19;1.003507;1.114711;0.039908;5.049197;5.520113;0.167622
214;19;1.003625;1.114264;0.039727;5.049841;5.518465;0.166880
215;19;1.003745;1.114004;0.039548;5.050492;5.516818;0.166142
216;19;1.003865;1.113741;0.039370;5.051150;5.515172;0.165407
217;19;1.003985;1.113476;0.039192;5.051815;5.513528;0.164677
218;19;1.004107;1.113209;0.039016;5.052488;5.511885;0.163949
219;19;1.004229;1.112940;0.038841;5.053168;5.510244;0.163226
220;19;1.004352;1.112668;0.038666;5.053855;5.508606;0.162506
221;19;1.004476;1.112394;0.038493;5.054548;5.506969;0.161790
222;19;1.004601;1.112119;0.038320;5.055249;5.505977;0.161077
223;19;1.004727;1.111841;0.038149;5.055958;5.504999;0.160368
224;19;1.004854;1.111562;0.037978;5.056673;5.504013;0.159662
225;19;1.004981;1.111281;0.037808;5.057394;5.503019;0.158959
226;19;1.005110;1.110998;0.037639;5.058123;5.502018;0.158260
227;19;1.005239;1.110713;0.037471;5.058859;5.501010;0.157565
228;19;1.005370;1.110427;0.037304;5.059602;5.499996;0.156873
229;19;1.005501;1.110139;0.037138;5.060351;5.498974;0.156184
230;19;1.005634;1.109850;0.036973;5.061107;5.497947;0.155498
231;19;1.005767;1.109560;0.036808;5.061869;5.496913;0.154816
232;19;1.005901;1.109268;0.036645;5.062639;5.495873;0.154137
233;19;1.006037;1.108975;0.036482;5.063414;5.494827;0.153461
234;19;1.006173;1.108681;0.036320;5.064197;5.493775;0.152789
235;19;1.006310;1.108385;0.036159;5.064985;5.492719;0.152120
236;19;1.006449;1.108089;0.035999;5.065780;5.491657;0.151454
237;19;1.006588;1.107791;0.035839;5.066582;5.490589;0.150791
238;19;1.006729;1.107493;0.035681;5.067389;5.489517;0.150131
239;19;1.006870;1.107193;0.035523;5.068203;5.488441;0.149474
240;19;1.007013;1.106893;0.035366;5.069023;5.487359;0.148821
241;19;1.007157;1.106592;0.035209;5.069848;5.486274;0.148170
242;19;1.007301;1.106290;0.035054;5.070678;5.485184;0.147523
243;19;1.007447;1.105987;0.034899;5.071190;5.484090;0.146879
244;19;1.007594;1.105683;0.034745;5.071708;5.482992;0.146237
245;19;1.007742;1.105379;0.034592;5.072233;5.481890;0.145599
246;19;1.007891;1.105075;0.034440;5.072763;5.480785;0.144963
247;19;1.008041;1.104769;0.034288;5.073299;5.479676;0.144331
248;19;1.008192;1.104464;0.034137;5.073841;5.478564;0.143702
249;19;1.008345;1.104157;0.033987;5.074389;5.477449;0.143075
250;19;1.008498;1.103851;0.033837;5.074944;5.476331;0.142451
251;19;1.008653;1.103543;0.033689;5.075503;5.475210;0.141830
252;19;1.008808;1.103236;0.033541;5.076069;5.474086;0.141212
253;19;1.008965;1.102928;0.033393;5.076641;5.472960;0.140597
254;19;1.009122;1.102620;0.033247;5.077219;5.471831;0.139985
255;19;1.009281;1.102312;0.033101;5.077802;5.470700;0.139376
256;19;1.009441;1.102003;0.032956;5.078391;5.469566;0.138769
257;19;1.009602;1.101694;0.032811;5.078985;5.468431;0.138165
258;19;1.009764;1.101385;0.032668;5.079586;5.467293;0.137564
259;19;1.009927;1.101076;0.032525;5.080192;5.466154;0.136966
260;19;1.010091;1.100767;0.032382;5.080803;5.465013;0.136370
261;19;1.010256;1.100457;0.032240;5.081420;5.463870;0.135777
262;19;1.010422;1.100199;0.032099;5.082043;5.462725;0.135187
263;19;1.010589;1.100018;0.031959;5.082671;5.461579;0.134599
264;19;1.010757;1.099836;0.031819;5.083305;5.460432;0.134014
265;19;1.010927;1.099652;0.031680;5.083943;5.459283;0.133432
266;19;1.011097;1.099467;0.031542;5.084588;5.458134;0.132852
267;19;1.011268;1.099279;0.031404;5.085237;5.456983;0.132275
268;19;1.011440;1.099090;0.031267;5.085892;5.455832;0.131701
269;19;1.011614;1.098900;0.031130;5.086551;5.454679;0.131129
270;19;1.011788;1.098708;0.030994;5.087216;5.453526;0.130560
271;19;1.011963;1.098514;0.030859;5.087886;5.452372;0.129993
272;19;1.012139;1.098319;0.030725;5.088561;5.451562;0.129429
273;19;1.012316;1.098123;0.030591;5.089241;5.450870;0.128867
274;19;1.012440;1.097925;0.030457;5.089926;5.450172;0.128308
275;19;1.012554;1.097726;0.030325;5.090616;5.449468;0.127752
276;19;1.012670;1.097526;0.030192;5.091311;5.448758;0.127198
277;19;1.012786;1.097324;0.030061;5.092010;5.448043;0.126646
278;19;1.012903;1.097121;0.029930;5.092714;5.447321;0.126097
279;19;1.013022;1.096917;0.029800;5.093422;5.446595;0.125550
280;19;1.013141;1.096712;0.029670;5.094135;5.445862;0.125006
281;19;1.013262;1.096506;0.029541;5.094853;5.445125;0.124464
282;19;1.013383;1.096299;0.029412;5.095575;5.444382;0.123925
283;19;1.013505;1.096090;0.029284;5.096301;5.443635;0.123388
284;19;1.013629;1.095881;0.029157;5.097032;5.442882;0.122853
285;19;1.013753;1.095671;0.029030;5.097767;5.442125;0.122321
286;19;1.013879;1.095460;0.028904;5.098506;5.441363;0.121791
287;19;1.014005;1.095248;0.028778;5.099250;5.440597;0.121263
288;19;1.014132;1.095035;0.028653;5.099997;5.439826;0.120738
289;19;1.014261;1.094821;0.028529;5.100748;5.439051;0.120215
290;19;1.014390;1.094606;0.028405;5.101504;5.438272;0.119695
291;19;1.014520;1.094391;0.028282;5.102263;5.437489;0.119176
292;19;1.014652;1.094175;0.028159;5.103026;5.436701;0.118660
293;19;1.014784;1.093958;0.028036;5.103792;5.435910;0.118147
294;19;1.014917;1.093740;0.027915;5.104468;5.435115;0.117635
