perimeter,num_drones,v_nominal,v_max,sensing_radius,nominal_spacing,balancing_policy,density_threshold,speed_threshold,adaptation_window,failure_rate,num_failures,failure_distribution,initial_active,spare_trigger_ratio,spare_target_factor,neighbor_balance_factor,strike_fraction,seed
125.0,33,1.0,1.5,10.0,5.0,5,0.9,1.8,10.0,1.0,0,1,25,0.9,1.3,1.0,0.1,5036
125.0,33,1.0,1.5,10.0,5.0,0,0.9,1.8,10.0,1.0,0,1,25,0.9,1.3,1.0,0.2,5037
125.0,33,1.0,1.5,10.0,5.0,1,0.9,1.8,10.0,1.0,0,1,25,0.9,1.3,1.0,0.2,5038
125.0,33,1.0,1.5,10.0,5.0,2,0.9,1.8,10.0,1.0,0,1,25,0.9,1.3,1.0,0.2,5039
125.0,33,1.0,1.5,10.0,5.0,3,0.9,1.8,10.0,1.0,0,1,25,0.9,1.3,1.0,0.2,5040
125.0,33,1.0,1.5,10.0,5.0,4,0.9,1.8,10.0,1.0,0,1,25,0.9,1.3,1.0,0.2,5041
125.0,33,1.0,1.5,10.0,5.0,5,0.9,1.8,10.0,1.0,0,1,25,0.9,1.3,1.0,0.2,5042
125.0,33,1.0,1.5,10.0,5.0,0,0.9,1.8,10.0,1.0,0,1,25,0.9,1.3,1.0,0.3,5043
125.0,33,1.0,1.5,10.0,5.0,1,0.9,1.8,10.0,1.0,0,1,25,0.9,1.3,1.0,0.3,5044
125.0,33,1.0,1.5,10.0,5.0,2,0.9,1.8,10.0,1.0,0,1,25,0.9,1.3,1.0,0.3,5045
125.0,33,1.0,1.5,10.0,5.0,3,0.9,1.8,10.0,1.0,0,1,25,0.9,1.3,1.0,0.3,5046
125.0,33,1.0,1.5,10.0,5.0,4,0.9,1.8,10.0,1.0,0,1,25,0.9,1.3,1.0,0.3,5047
125.0,33,1.0,1.5,10.0,5.0,5,0.9,1.8,10.0,1.0,0,1,25,0.9,1.3,1.0,0.3,5048
125.0,33,1.0,1.5,10.0,5.0,0,0.9,1.8,10.0,1.0,0,1,25,0.9,1.3,1.0,0.4,5049
125.0,33,1.0,1.5,10.0,5.0,1,0.9,1.8,10.0,1.0,0,1,25,0.9,1.3,1.0,0.4,5050
125.0,33,1.0,1.5,10.0,5.0,2,0.9,1.8,10.0,1.0,0,1,25,0.9,1.3,1.0,0.4,5051
125.0,33,1.0,1.5,10.0,5.0,3,0.9,1.8,10.0,1.0,0,1,25,0.9,1.3,1.0,0.4,5052
125.0,33,1.0,1.5,10.0,5.0,4,0.9,1.8,10.0,1.0,0,1,25,0.9,1.3,1.0,0.4,5053
125.0,33,1.0,1.5,10.0,5.0,5,0.9,1.8,10.0,1.0,0,1,25,0.9,1.3,1.0,0.4,5054
125.0,33,1.0,1.5,10.0,5.0,0,0.9,1.8,10.0,1.0,0,1,25,0.9,1.3,1.0,0.5,5055
125.0,33,1.0,1.5,10.0,5.0,1,0.9,1.8,10.0,1.0,0,1,25,0.9,1.3,1.0,0.5,5056
125.0,33,1.0,1.5,10.0,5.0,2,0.9,1.8,10.0,1.0,0,1,25,0.9,1.3,1.0,0.5,5057
125.0,33,1.0,1.5,10.0,5.0,3,0.9,1.8,10.0,1.0,0,1,25,0.9,1.3,1.0,0.5,5058
125.0,33,1.0,1.5,10.0,5.0,4,0.9,1.8,10.0,1.0,0,1,25,0.9,1.3,1.0,0.5,5059
125.0,33,1.0,1.5,10.0,5.0,5,0.9,1.8,10.0,1.0,0,1,25,0.9,1.3,1.0,0.5,5060
125.0,33,1.0,1.5,10.0,5.0,0,0.9,1.8,10.0,1.0,0,2,25,0.9,1.3,1.0,0.1,5061
125.0,33,1.0,1.5,10.0,5.0,1,0.9,1.8,10.0,1.0,0,2,25,0.9,1.3,1.0,0.1,5062
125.0,33,1.0,1.5,10.0,5.0,2,0.9,1.8,10.0,1.0,0,2,25,0.9,1.3,1.0,0.1,5063
125.0,33,1.0,1.5,10.0,5.0,3,0.9,1.8,10.0,1.0,0,2,25,0.9,1.3,1.0,0.1,5064
125.0,33,1.0,1.5,10.0,5.0,4,0.9,1.8,10.0,1.0,0,2,25,0.9,1.3,1.0,0.1,5065
125.0,33,1.0,1.5,10.0,5.0,5,0.9,1.8,10.0,1.0,0,2,25,0.9,1.3,1.0,0.1,5066
125.0,33,1.0,1.5,10.0,5.0,0,0.9,1.8,10.0,1.0,0,2,25,0.9,1.3,1.0,0.2,5067
125.0,33,1.0,1.5,10.0,5.0,1,0.9,1.8,10.0,1.0,0,2,25,0.9,1.3,1.0,0.2,5068
125.0,33,1.0,1.5,10.0,5.0,2,0.9,1.8,10.0,1.0,0,2,25,0.9,1.3,1.0,0.2,5069
125.0,33,1.0,1.5,10.0,5.0,3,0.9,1.8,10.0,1.0,0,2,25,0.9,1.3,1.0,0.2,5070
125.0,33,1.0,1.5,10.0,5.0,4,0.9,1.8,10.0,1.0,0,2,25,0.9,1.3,1.0,0.2,5071
125.0,33,1.0,1.5,10.0,5.0,5,0.9,1.8,10.0,1.0,0,2,25,0.9,1.3,1.0,0.2,5072
125.0,33,1.0,1.5,10.0,5.0,0,0.9,1.8,10.0,1.0,0,2,25,0.9,1.3,1.0,0.3,5073
125.0,33,1.0,1.5,10.0,5.0,1,0.9,1.8,10.0,1.0,0,2,25,0.9,1.3,1.0,0.3,5074
125.0,33,1.0,1.5,10.0,5.0,2,0.9,1.8,10.0,1.0,0,2,25,0.9,1.3,1.0,0.3,5075
125.0,33,1.0,1.5,10.0,5.0,3,0.9,1.8,10.0,1.0,0,2,25,0.9,1.3,1.0,0.3,5076
125.0,33,1.0,1.5,10.0,5.0,4,0.9,1.8,10.0,1.0,0,2,25,0.9,1.3,1.0,0.3,5077
