perimeter,num_drones,v_nominal,v_max,sensing_radius,nominal_spacing,balancing_policy,density_threshold,speed_threshold,adaptation_window,failure_rate,num_failures,failure_distribution,seed,density,coverage,avg_speed,speed_stddev,max_gap,avg_gap,drones_active,formation_stability,energy_consumed,time_to_recover,recovery_slope
125.000000,33,1.000000,1.500000,10.000000,5.000000,4,0.900000,1.800000,10.000000,1.000000,13,1,5059,0.909091,90.909091,1.500000,0.000000,120.000000,66.666667,30.000000,0.075000,45.000000,0.000000,0.000000
125.000000,33,1.000000,1.500000,10.000000,5.000000,5,0.900000,1.800000,10.000000,1.000000,13,1,5060,0.909091,90.909091,1.500000,0.000000,120.000000,79.166667,30.000000,0.063158,45.000000,0.000000,0.000000
125.000000,33,1.000000,1.500000,10.000000,5.000000,0,0.900000,1.800000,10.000000,1.000000,3,2,5061,0.909091,90.909091,1.500000,0.000000,120.000000,108.333333,30.000000,0.046154,45.000000,0.000000,0.000000
125.000000,33,1.000000,1.500000,10.000000,5.000000,1,0.900000,1.800000,10.000000,1.000000,3,2,5062,0.909091,90.909091,1.500000,0.000000,120.000000,104.166667,30.000000,0.048000,45.000000,0.000000,0.000000
125.000000,33,1.000000,1.500000,10.000000,5.000000,2,0.900000,1.800000,10.000000,1.000000,3,2,5063,0.909091,90.909091,1.500000,0.000000,121.242500,112.500000,30.000000,0.044444,45.000000,0.000000,0.000000
125.000000,33,1.000000,1.500000,10.000000,5.000000,3,0.900000,1.800000,10.000000,1.000000,3,2,5064,0.909091,90.909091,1.500000,0.000000,120.000000,104.166667,30.000000,0.048000,45.000000,0.000000,0.000000
125.000000,33,1.000000,1.500000,10.000000,5.000000,4,0.900000,1.800000,10.000000,1.000000,3,2,5065,0.909091,90.909091,1.500000,0.000000,120.000000,108.333333,30.000000,0.046154,45.000000,0.000000,0.000000
125.000000,33,1.000000,1.500000,10.000000,5.000000,5,0.900000,1.800000,10.000000,1.000000,3,2,5066,0.909091,90.909091,1.500000,0.000000,121.242500,112.500000,30.000000,0.044444,45.000000,0.000000,0.000000
125.000000,33,1.000000,1.500000,10.000000,5.000000,0,0.900000,1.800000,10.000000,1.000000,5,2,5067,0.909091,90.909091,1.500000,0.000000,121.322500,104.166667,30.000000,0.048000,45.000000,0.000000,0.000000
125.000000,33,1.000000,1.500000,10.000000,5.000000,1,0.900000,1.800000,10.000000,1.000000,5,2,5068,0.909091,90.909091,1.500000,0.000000,120.000000,100.000000,30.000000,0.050000,45.000000,0.000000,0.000000
125.000000,33,1.000000,1.500000,10.000000,5.000000,2,0.900000,1.800000,10.000000,1.000000,5,2,5069,0.909091,90.909091,1.500000,0.000000,120.000000,100.000000,30.000000,0.050000,45.000000,0.000000,0.000000
125.000000,33,1.000000,1.500000,10.000000,5.000000,3,0.900000,1.800000,10.000000,1.000000,5,2,5070,0.909091,90.909091,1.500000,0.000000,120.000000,95.833333,30.000000,0.052174,45.000000,0.000000,0.000000
125.000000,33,1.000000,1.500000,10.000000,5.000000,4,0.900000,1.800000,10.000000,1.000000,5,2,5071,0.909091,90.909091,1.500000,0.000000,120.000000,100.000000,30.000000,0.050000,45.000000,0.000000,0.000000
125.000000,33,1.000000,1.500000,10.000000,5.000000,5,0.900000,1.800000,10.000000,1.000000,5,2,5072,0.909091,90.909091,1.500000,0.000000,120.081291,104.166667,30.000000,0.048000,45.000000,0.000000,0.000000
125.000000,33,1.000000,1.500000,10.000000,5.000000,0,0.900000,1.800000,10.000000,1.000000,8,2,5073,0.909091,90.909091,1.500000,0.000000,120.000000,83.333333,30.000000,0.060000,45.000000,0.000000,0.000000
