step;alive;mean_v;min_v;max_v;std_v;min_gap;max_gap;mean_gap;std_gap
90;20;1.034596;1.000000;1.400331;0.090339;4.003310;6.919223;5.000000;0.531957
91;20;1.034720;1.000000;1.396546;0.089628;3.965456;6.944061;5.000000;0.540437
92;20;1.034842;1.000000;1.392837;0.088942;3.928372;6.968392;5.000000;0.548851
93;20;1.034961;1.000000;1.389204;0.088278;3.892038;6.992226;5.000000;0.557194
94;20;1.035078;1.000000;1.385643;0.087637;3.856434;7.015578;5.000000;0.565462
95;20;1.017104;0.678308;1.500000;0.132828;3.821544;7.038460;5.000000;0.573651
96;20;1.017746;0.690144;1.500000;0.131340;3.857732;6.956291;5.000000;0.557511
97;20;1.018380;0.701706;1.500000;0.129932;3.892369;6.875305;5.000000;0.542151
98;20;1.019005;0.713002;1.500000;0.128600;3.925500;6.795476;5.000000;0.527583
99;20;1.019623;0.724040;1.500000;0.127342;3.957171;6.716776;5.000000;0.513822
100;20;1.020234;0.734825;1.500000;0.126153;3.987426;6.639180;5.000000;0.500881
101;20;1.020837;0.745364;1.500000;0.125033;4.016306;6.562663;5.000000;0.488775
102;20;1.021433;0.755665;1.500000;0.123977;4.043854;6.487199;5.000000;0.477518
103;20;1.022022;0.765734;1.500000;0.122984;4.070108;6.412765;5.000000;0.467124
104;20;1.022604;0.775577;1.500000;0.122050;4.095107;6.339339;5.000000;0.457605
105;20;1.023179;0.785199;1.500000;0.121173;4.118890;6.266897;5.000000;0.448972
106;20;1.023748;0.794608;1.500000;0.120351;4.141492;6.195417;5.000000;0.441234
107;20;1.024310;0.803807;1.500000;0.119581;4.162948;6.124877;5.000000;0.434397
108;20;1.024866;0.812803;1.500000;0.118861;4.183292;6.055258;5.000000;0.428465
109;20;1.025415;0.821602;1.500000;0.118189;4.202558;6.069564;5.000000;0.423437
110;20;1.025959;0.830208;1.500000;0.117562;4.220778;6.110415;5.000000;0.419307
111;20;1.026496;0.838626;1.500000;0.116979;4.237982;6.150935;5.000000;0.416068
112;20;1.027028;0.846862;1.500000;0.116438;4.249151;6.191131;5.000000;0.413707
113;20;1.027554;0.854920;1.500000;0.115936;4.252233;6.231009;5.000000;0.412205
114;20;1.028074;0.862804;1.500000;0.115472;4.255404;6.270574;5.000000;0.411543
115;20;1.028589;0.870520;1.500000;0.115044;4.258651;6.309832;5.000000;0.411694
116;20;1.029098;0.878071;1.500000;0.114649;4.261964;6.348787;5.000000;0.412629
117;20;1.029603;0.885461;1.500000;0.114288;4.265335;6.387446;5.000000;0.414318
118;20;1.030102;0.892696;1.500000;0.113957;4.268752;6.425813;5.000000;0.416725
119;20;1.030596;0.899778;1.500000;0.113656;4.272209;6.463894;5.000000;0.419815
120;20;1.031085;0.906713;1.500000;0.113382;4.275695;6.501693;5.000000;0.423551
121;20;1.031569;0.913502;1.500000;0.113135;4.279203;6.539216;5.000000;0.427893
122;20;1.032049;0.920151;1.500000;0.112913;4.282725;6.576466;5.000000;0.432805
123;20;1.032524;0.926662;1.500000;0.112715;4.286255;6.613449;5.000000;0.438249
124;20;1.032994;0.933040;1.500000;0.112540;4.289784;6.650169;5.000000;0.444186
125;20;1.033433;0.939287;1.499470;0.112276;4.293306;6.686631;5.000000;0.450581
126;20;1.033614;0.945402;1.493868;0.110979;4.296815;6.722785;5.000000;0.457389
127;20;1.033791;0.951337;1.488384;0.109727;4.300305;6.758129;5.000000;0.464473
128;20;1.033963;0.957097;1.483013;0.108517;4.303771;6.792685;5.000000;0.471794
129;20;1.034132;0.962688;1.477754;0.107347;4.307207;6.826474;5.000000;0.479316
130;20;1.034298;0.968114;1.472603;0.106217;4.310607;6.859515;5.000000;0.487007
131;20;1.034459;0.973382;1.467558;0.105123;4.313968;6.891828;5.000000;0.494839
132;20;1.034617;0.978494;1.462617;0.104066;4.317285;6.923433;5.000000;0.502785
133;20;1.034772;0.983456;1.457775;0.103043;4.320554;6.954347;5.000000;0.510821
134;20;1.034923;0.988273;1.453032;0.102053;4.323771;6.984589;5.000000;0.518928
135;20;1.035071;0.991360;1.448385;0.101095;4.326932;7.014177;5.000000;0.527087
136;20;1.035216;0.991686;1.443830;0.100168;4.330035;7.043127;5.000000;0.535280
137;20;1.035357;0.992048;1.439367;0.099270;4.333076;7.071455;5.000000;0.543493
138;20;1.035496;0.992444;1.434992;0.098400;4.336053;7.099178;5.000000;0.551714
139;20;1.035632;0.992872;1.430704;0.097557;4.307038;7.126312;5.000000;0.559930
140;20;1.035764;0.993331;1.426500;0.096740;4.265000;7.152871;5.000000;0.568132
141;20;1.035894;0.993818;1.422378;0.095948;4.223785;7.178870;5.000000;0.576311
142;20;1.036022;0.994332;1.418337;0.095179;4.183373;7.204323;5.000000;0.584458
143;20;1.036146;0.994871;1.414374;0.094434;4.143745;7.229245;5.000000;0.592566
144;20;1.016425;0.685123;1.500000;0.131867;4.104882;7.253648;5.000000;0.600631
145;20;1.017060;0.696714;1.500000;0.130452;4.139301;7.172161;5.000000;0.585117
146;20;1.017688;0.708035;1.500000;0.129114;4.172184;7.091832;5.000000;0.570337
147;20;1.018308;0.719094;1.500000;0.127852;4.203576;7.012635;5.000000;0.556301
148;20;1.018920;0.729898;1.500000;0.126660;4.233523;6.934545;5.000000;0.543016
149;20;1.019525;0.740453;1.500000;0.125538;4.262068;6.857535;5.000000;0.530491
150;20;1.020123;0.750768;1.500000;0.124481;4.289255;6.781580;5.000000;0.518736
151;20;1.020714;0.760847;1.500000;0.123488;4.315124;6.706657;5.000000;0.507758
152;20;1.021298;0.770697;1.500000;0.122555;4.339715;6.632741;5.000000;0.497567
153;20;1.021875;0.780326;1.500000;0.121679;4.363067;6.559811;5.000000;0.488170
154;20;1.022445;0.789737;1.500000;0.120859;4.374105;6.487844;5.000000;0.479574
155;20;1.023009;0.798938;1.500000;0.120091;4.375998;6.416817;5.000000;0.471783
156;20;1.023567;0.807935;1.500000;0.119373;4.377857;6.346711;5.000000;0.464801
157;20;1.024118;0.816731;1.500000;0.118704;4.379685;6.277505;5.000000;0.458629
158;20;1.024663;0.825333;1.500000;0.118080;4.381484;6.209178;5.000000;0.453265
159;20;1.025203;0.833746;1.500000;0.117499;4.383060;6.182270;5.000000;0.448706
160;20;1.025736;0.841975;1.500000;0.116960;4.384023;6.222353;5.000000;0.444945
161;20;1.026264;0.850025;1.500000;0.116461;4.385141;6.262120;5.000000;0.441971
162;20;1.026786;0.857900;1.500000;0.115999;4.386401;6.301574;5.000000;0.439772
163;20;1.027303;0.865605;1.500000;0.115573;4.387790;6.340721;5.000000;0.438332
164;20;1.027815;0.873145;1.500000;0.115180;4.389297;6.379568;5.000000;0.437632
165;20;1.028321;0.880523;1.500000;0.114820;4.390910;6.418118;5.000000;0.437651
166;20;1.028822;0.887744;1.500000;0.114490;4.392618;6.456378;5.000000;0.438364
167;19;1.030829;0.500228;1.500000;0.199959;4.394411;9.997648;5.263158;1.203684
168;19;1.031378;0.515224;1.500000;0.195950;4.396279;9.897671;5.263158;1.182743
169;19;1.031890;0.529726;1.500000;0.192057;4.398213;9.800629;5.263158;1.162972
170;19;1.032396;0.543745;1.500000;0.188350;4.400204;9.706486;5.263158;1.144353
171;19;1.032898;0.557300;1.500000;0.184822;4.402242;9.615146;5.263158;1.126852
172;19;1.033396;0.570404;1.500000;0.181468;4.404321;9.526515;5.263158;1.110436
173;19;1.033888;0.583076;1.500000;0.178278;4.406362;9.440504;5.263158;1.095073
174;19;1.034376;0.595328;1.500000;0.175248;4.407939;9.357025;5.263158;1.080732
175;19;1.034859;0.607177;1.500000;0.172371;4.409509;9.275995;5.263158;1.067382
176;19;1.035338;0.618636;1.500000;0.169639;4.411073;9.197334;5.263158;1.054992
177;19;1.035812;0.629719;1.500000;0.167048;4.412632;9.120963;5.263158;1.043532
178;19;1.036283;0.640438;1.500000;0.164591;4.414186;9.046806;5.263158;1.032971
179;19;1.036471;0.650807;1.494720;0.161471;4.415734;8.974793;5.263158;1.023280
180;19;1.036650;0.660837;1.489463;0.158462;4.417277;8.904851;5.263158;1.014373
181;19;1.036826;0.670541;1.484312;0.155570;4.418815;8.836914;5.263158;1.006213
182;19;1.036998;0.679929;1.479265;0.152791;4.420348;8.770916;5.263158;0.998765
183;19;1.037166;0.689012;1.474318;0.150120;4.421875;8.706794;5.263158;0.991994
184;19;1.037331;0.697801;1.469470;0.147553;4.423397;8.644487;5.263158;0.985867
185;19;1.037492;0.706306;1.464718;0.145085;4.424913;8.583936;5.263158;0.980352
186;19;1.037650;0.714537;1.460059;0.142713;4.426422;8.525084;5.263158;0.975418
187;19;1.037804;0.722503;1.455492;0.140432;4.427926;8.467877;5.263158;0.971033
188;19;1.037955;0.730213;1.451013;0.138239;4.429423;8.412262;5.263158;0.967170
189;19;1.038103;0.737677;1.446621;0.136130;4.430913;8.358187;5.263158;0.963798
190;19;1.038247;0.744902;1.442315;0.134101;4.423145;8.305603;5.263158;0.960891
191;19;1.038389;0.751896;1.438090;0.132150;4.380903;8.254463;5.263158;0.958423
192;19;1.038528;0.758668;1.433947;0.130272;4.339467;8.204719;5.263158;0.956369
193;19;1.016989;0.695279;1.500000;0.156126;4.298819;8.156328;5.263158;0.954704
194;19;1.017651;0.706684;1.500000;0.153978;4.332400;8.109247;5.263158;0.937966
195;19;1.018306;0.717823;1.500000;0.151936;4.364457;8.063434;5.263158;0.921967
196;19;1.018952;0.728703;1.500000;0.149997;4.395037;8.018849;5.263158;0.906697
197;19;1.019590;0.739330;1.500000;0.148155;4.424184;7.975454;5.263158;0.892144
198;19;1.020221;0.749713;1.500000;0.146409;4.443955;7.933210;5.263158;0.878299
199;19;1.020844;0.759857;1.500000;0.144752;4.445356;7.892081;5.263158;0.865151
200;19;1.021460;0.769769;1.500000;0.143182;4.446746;7.852034;5.263158;0.852690
201;19;1.022069;0.779455;1.500000;0.141696;4.448126;7.813033;5.263158;0.840907
202;19;1.022671;0.788922;1.500000;0.140289;4.449494;7.775047;5.263158;0.829792
203;19;1.023266;0.798174;1.500000;0.138959;4.450851;7.738043;5.263158;0.819334
204;19;1.023854;0.807219;1.500000;0.137701;4.452197;7.701991;5.263158;0.809525
205;19;1.024435;0.816061;1.500000;0.136513;4.453532;7.666862;5.263158;0.800354
206;19;1.025010;0.824707;1.500000;0.135392;4.454855;7.632628;5.263158;0.791811
207;19;1.025579;0.833160;1.500000;0.134335;4.456168;7.599260;5.263158;0.783886
208;19;1.026142;0.841427;1.500000;0.133339;4.457470;7.566732;5.263158;0.776569
209;19;1.026699;0.846152;1.500000;0.132401;4.458761;7.535019;5.263158;0.769849
210;19;1.027249;0.849988;1.500000;0.131518;4.460041;7.504095;5.263158;0.763714
211;19;1.027794;0.853709;1.500000;0.130689;4.461310;7.473937;5.263158;0.758155
212;19;1.028333;0.857317;1.500000;0.129909;4.462569;7.444521;5.263158;0.753158
213;19;1.028867;0.860816;1.500000;0.129178;4.463818;7.415825;5.263158;0.748713
